Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  24.06.2019;2.951,42;2.954,92;2.944,05;2.945,35;1.733.220.416
  25.06.2019;2.945,78;2.946,52;2.916,01;2.917,38;2.020.032.887
  26.06.2019;2.926,07;2.932,59;2.912,99;2.913,78;2.005.584.141
  27.06.2019;2.919,66;2.929,30;2.918,57;2.924,92;1.725.782.515
  28.06.2019;2.932,94;2.943,98;2.929,05;2.941,76;2.959.726.110
  01.07.2019;2.971,41;2.977,93;2.952,22;2.964,33;2.042.077.046
  02.07.2019;2.964,66;2.973,21;2.955,92;2.973,01;1.656.797.094
  03.07.2019;2.978,08;2.995,84;2.977,96;2.995,82;908.325.668
  05.07.2019;2.984,25;2.994,03;2.967,97;2.990,41;1.287.369.510
  08.07.2019;2.979,77;2.980,76;2.970,09;2.975,95;1.554.002.628
  09.07.2019;2.965,52;2.981,90;2.963,44;2.979,63;1.636.493.097
  10.07.2019;2.989,30;3.002,98;2.984,62;2.993,07;1.643.619.368
  11.07.2019;2.999,62;3.002,33;2.988,80;2.999,91;1.731.135.974
  12.07.2019;3.003,36;3.013,92;3.001,87;3.013,77;1.609.598.303
  15.07.2019;3.017,80;3.017,80;3.008,77;3.014,30;1.604.048.494
  16.07.2019;3.012,13;3.015,02;3.001,15;3.004,04;1.742.567.428
  17.07.2019;3.005,10;3.005,26;2.984,25;2.984,42;1.743.301.026
  18.07.2019;2.978,87;2.998,28;2.973,09;2.995,11;1.793.633.457
  19.07.2019;3.004,26;3.006,02;2.975,86;2.976,61;1.872.665.473
  22.07.2019;2.981,93;2.990,71;2.976,65;2.985,03;1.667.005.218
  23.07.2019;2.994,74;3.005,90;2.988,56;3.005,47;1.870.688.759
  24.07.2019;2.998,77;3.019,59;2.996,82;3.019,56;1.925.226.952
  25.07.2019;3.016,26;3.016,31;2.997,24;3.003,67;1.977.743.265
  26.07.2019;3.013,25;3.027,98;3.012,59;3.025,86;1.807.302.584
  29.07.2019;3.024,47;3.025,61;3.014,30;3.020,97;1.761.304.156
  30.07.2019;3.007,66;3.017,19;3.000,94;3.013,18;1.837.519.861
  31.07.2019;3.016,22;3.017,40;2.958,08;2.980,38;2.731.633.880
  01.08.2019;2.980,32;3.013,59;2.945,23;2.953,56;2.707.086.272
  02.08.2019;2.943,90;2.945,50;2.914,11;2.932,05;2.210.278.484
  05.08.2019;2.898,07;2.898,07;2.822,12;2.844,74;2.614.970.778
  06.08.2019;2.861,18;2.884,40;2.847,42;2.881,77;2.177.203.736
  07.08.2019;2.858,65;2.892,17;2.825,71;2.883,98;2.360.893.677
  08.08.2019;2.896,21;2.938,72;2.894,47;2.938,09;2.209.464.226
  09.08.2019;2.930,51;2.935,75;2.900,15;2.918,65;1.888.617.136
